V01_RESPID,V07_PROVINCE,V08_SEX,V09_RURAL,V16_NUMPEOPLE,V17_PEOPLE18,V20_MARITAL,V21_MTHRTONGUE,V29_RESPEDUC,V30_RESPAGE,V36_TENURE,V43_SOCCLASS,V64_DRINK,V65_DRINK1,V68_DRINK8,V70_DRINKPROB,
222,6,1,0,2,2,2,1,7,39,2,7,1,7,0,1,
223,6,2,0,4,3,2,1,4,47,2,6,1,1,0,1,
224,6,1,0,4,3,1,1,3,18,2,4,1,1,0,1,
225,6,1,0,4,2,2,1,3,33,2,4,1,2,0,1,
226,6,2,0,4,2,2,1,7,30,2,6,1,0,0,2,
227,6,1,0,3,3,1,1,7,23,1,5,2,8,8,1,
228,6,2,0,5,2,2,1,3,43,1,5,2,8,8,1,
229,6,1,0,5,2,2,3,3,30,1,5,1,2,0,2,
230,6,1,0,3,2,1,1,4,24,1,5,1,4,1,1,
231,6,2,0,5,2,2,1,3,40,1,5,1,2,0,1,
232,6,1,0,6,2,2,1,4,49,1,5,2,8,8,1,
233,7,1,3,2,2,3,3,1,82,1,2,2,8,8,2,
234,7,1,3,4,3,1,1,7,25,1,5,1,2,2,1,
235,7,1,2,3,2,2,3,4,72,1,4,2,8,8,2,
236,7,2,3,3,2,2,1,3,46,1,4,2,8,8,1,
237,7,1,3,2,2,2,3,2,51,1,4,1,1,0,2,
238,7,2,2,3,3,1,1,5,24,1,5,1,1,0,1,
239,7,1,2,3,3,2,3,1,59,1,5,1,2,0,1,
240,7,2,3,1,1,3,3,3,69,1,3,2,8,8,2,
241,7,2,2,4,2,2,3,3,38,1,5,1,2,0,1,
242,7,1,2,2,2,2,1,3,73,1,3,1,0,0,2,
243,7,2,2,5,2,2,1,7,36,1,8,1,0,0,1,
244,7,2,2,5,2,2,3,3,33,1,4,1,1,0,1,
245,7,2,2,2,2,2,1,3,47,1,4,1,0,0,1,
246,7,1,1,2,2,2,1,3,73,1,2,1,2,0,1,
247,7,1,1,4,2,2,2,3,37,1,7,1,1,0,1,
248,7,1,1,4,2,2,1,2,33,1,4,1,0,0,2,
249,7,1,1,1,1,3,3,1,80,1,2,1,1,0,1,
250,7,1,1,2,2,2,1,2,67,1,5,1,0,0,1,
251,7,1,1,2,2,2,1,2,52,1,4,1,2,0,1,
252,7,2,1,1,1,3,1,2,62,1,2,1,2,0,1,
253,7,1,1,3,3,2,3,2,65,1,4,1,1,0,1,
254,7,1,1,3,2,2,3,2,64,1,4,2,8,8,1,
255,7,2,1,6,2,2,1,3,26,1,5,1,1,0,2,
256,7,1,1,8,4,1,1,1,18,1,4,1,2,0,2,
257,7,1,1,8,4,3,1,1,83,1,4,2,8,8,2,
258,7,1,1,5,3,3,3,1,74,1,6,1,2,0,2,
259,7,1,1,4,2,2,1,3,21,1,5,1,2,0,2,
260,0,2,0,4,2,2,3,3,26,2,5,2,8,8,1,
261,0,2,0,2,2,2,1,3,62,1,5,1,7,0,1,
262,0,1,0,1,1,1,3,4,26,1,5,1,5,0,1,
263,0,1,0,2,2,2,1,5,72,1,5,1,3,0,2,
264,0,1,0,5,2,2,3,6,34,1,6,1,2,0,1,
265,0,2,0,3,3,2,3,3,72,1,5,1,7,0,2,
266,0,1,0,3,2,2,3,2,55,2,5,1,0,0,2,
267,0,1,0,2,2,2,3,3,66,1,3,1,7,0,2,
268,0,1,0,6,4,2,1,4,49,1,5,1,1,0,1,
269,0,1,0,1,1,1,1,4,22,2,5,1,3,0,1,
270,0,2,0,4,2,2,1,7,29,2,5,1,1,0,1,
271,0,1,0,3,1,1,2,1,15,2,4,1,0,0,2,
272,0,1,0,3,3,1,1,4,22,1,2,1,3,1,1,
273,0,2,0,2,2,2,3,7,53,1,4,2,8,8,1,
274,0,1,0,3,2,2,1,3,55,1,2,1,6,0,1,
275,0,2,0,3,2,1,1,3,17,1,2,1,0,0,1,
276,0,1,0,2,2,3,1,1,89,2,2,1,1,0,1,
277,0,2,0,5,3,1,1,3,17,1,2,1,0,0,1,
278,0,1,0,5,2,2,3,6,53,1,5,1,0,0,1,
279,0,2,0,4,2,2,3,3,30,1,5,1,0,0,2,
280,0,2,0,3,1,1,1,4,41,2,4,1,0,0,2,
281,0,1,0,2,2,2,3,2,70,1,6,1,2,0,1,
282,0,1,0,4,3,1,3,3,18,2,6,1,2,2,2,
283,0,1,0,4,2,2,1,4,27,1,5,1,1,0,1,
284,5,1,0,2,2,2,2,2,50,2,3,1,1,0,2,
285,5,1,0,3,3,1,2,4,19,2,4,1,7,2,2,
286,5,1,0,3,3,1,2,4,23,2,4,1,7,0,2,
287,5,2,0,2,2,1,2,5,19,2,2,2,8,8,1,
288,5,1,0,2,2,1,2,6,25,2,1,1,7,0,1,
289,5,2,0,1,1,3,2,1,64,2,1,1,0,0,2,
290,5,1,0,8,4,1,2,3,17,2,6,2,8,8,2,
291,5,1,0,8,4,2,2,3,48,2,6,2,8,8,2,
292,5,2,0,3,2,3,2,1,42,2,4,2,8,8,1,
293,5,1,0,8,2,1,2,3,17,2,5,2,8,8,1,
294,5,1,0,3,2,1,2,4,17,2,5,1,0,0,1,
295,5,2,0,2,2,1,2,4,22,2,5,1,1,0,1,
296,5,2,0,4,3,2,2,8,44,1,8,1,7,0,1,
297,5,2,0,4,3,1,2,8,19,1,8,1,0,0,1,
298,5,2,0,4,3,1,2,4,17,1,8,1,0,0,1,
299,5,1,0,3,2,2,2,3,26,1,7,1,0,0,1,
300,5,2,0,3,2,2,2,3,23,1,7,1,0,0,1,
301,5,1,0,3,3,2,1,4,53,1,5,1,1,0,1,
302,5,2,0,3,3,1,1,5,18,1,5,1,1,0,1,
303,5,1,0,2,2,2,2,3,63,1,3,1,0,0,1,
304,5,2,0,2,2,2,2,3,49,2,8,1,0,0,1,
305,5,2,0,2,2,1,2,8,28,2,5,1,5,5,1,
306,5,1,0,7,4,1,2,3,16,2,5,2,8,8,1,
307,5,1,0,1,1,3,2,3,70,2,5,2,8,8,1,
